measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Japan,Both,All Ages,Substance use disorders,Rate,2004,0.8657746170690438,0.884172867007554,0.8430686864936865
Deaths,Japan,Male,All Ages,Diabetes and kidney diseases,Rate,2004,29.271935488631954,30.451503426585305,26.848621051124912
Deaths,Japan,Female,All Ages,Diabetes and kidney diseases,Rate,2004,29.52108111541745,32.70098052485228,23.56476433968904
Deaths,Japan,Both,All Ages,Diabetes and kidney diseases,Rate,2004,29.39925566113279,31.539737794856105,25.20216426630404
Deaths,United Arab Emirates,Male,All Ages,Transport injuries,Rate,2000,49.59020835574367,61.17587433805028,38.01686616129941
Deaths,United Arab Emirates,Female,All Ages,Transport injuries,Rate,2000,19.981732767656897,24.402631948766814,14.732384873201012
Deaths,United Arab Emirates,Both,All Ages,Transport injuries,Rate,2000,39.94208356490287,48.360218771446554,31.335997565459706
Deaths,Kiribati,Male,All Ages,Skin and subcutaneous diseases,Rate,2004,3.4984088258817954,5.937289368670334,1.4907708038356593
Deaths,Kiribati,Female,All Ages,Skin and subcutaneous diseases,Rate,2004,2.7132679314899226,3.8494160110456206,1.6292582890034837
Deaths,Kiribati,Both,All Ages,Skin and subcutaneous diseases,Rate,2004,3.101294007887937,4.376967508233325,1.9350530252912095
Deaths,Kiribati,Male,All Ages,Transport injuries,Rate,2004,35.24160109490286,43.407568366085236,25.484290675356377
Deaths,Kiribati,Female,All Ages,Transport injuries,Rate,2004,6.782413022331427,8.410998015066959,5.362919032862887
Deaths,Kiribati,Both,All Ages,Transport injuries,Rate,2004,20.847286173316885,25.20086763543196,15.989232939891748
Deaths,Haiti,Male,All Ages,Mental disorders,Rate,2004,4.307356175082761e-05,0.00010843593379142475,1.4516691327783272e-05
Deaths,Haiti,Female,All Ages,Mental disorders,Rate,2004,0.00020906315307670474,0.0003885734866812128,9.904351611414196e-05
Deaths,Haiti,Both,All Ages,Mental disorders,Rate,2004,0.00012851968557457444,0.00022448267953439766,6.309786058151544e-05
Deaths,Haiti,Male,All Ages,Self-harm and interpersonal violence,Rate,2004,63.03822113975061,89.37178113445823,25.063945921749365
Deaths,Haiti,Female,All Ages,Self-harm and interpersonal violence,Rate,2004,16.708436347003502,22.398356662744707,11.113637797898296
Deaths,Haiti,Both,All Ages,Self-harm and interpersonal violence,Rate,2004,39.1891321908132,53.0756355598604,18.771365914196902
Deaths,Uruguay,Male,All Ages,Musculoskeletal disorders,Rate,2004,0.7128967019085265,1.3562605989477696,0.5664693103383784
Deaths,Uruguay,Female,All Ages,Musculoskeletal disorders,Rate,2004,2.146886805725673,3.684813787345942,1.4845521892958522
Deaths,Uruguay,Both,All Ages,Musculoskeletal disorders,Rate,2004,1.4530300289266753,2.3999385395081596,1.1331469687703524
Deaths,Uruguay,Male,All Ages,Other non-communicable diseases,Rate,2004,21.33510705340399,24.015716372337174,18.41844513727587
Deaths,Uruguay,Female,All Ages,Other non-communicable diseases,Rate,2004,23.205682576020514,25.83989773175386,20.99685256529807
Deaths,Uruguay,Both,All Ages,Other non-communicable diseases,Rate,2004,22.300577652752985,24.653949758636262,20.33360915361618
Deaths,Uruguay,Male,All Ages,HIV/AIDS and sexually transmitted infections,Rate,2004,7.959722691224814,8.165886836073954,7.779810506278102
Deaths,Uruguay,Female,All Ages,HIV/AIDS and sexually transmitted infections,Rate,2004,2.1384381241781734,2.1950094858022466,2.085974232916019
Deaths,Uruguay,Both,All Ages,HIV/AIDS and sexually transmitted infections,Rate,2004,4.955150551808553,5.058632600865971,4.865831273998994
Deaths,Uruguay,Male,All Ages,Respiratory infections and tuberculosis,Rate,2004,42.49792023579445,44.9739068789314,39.639700323484085
Deaths,Uruguay,Female,All Ages,Respiratory infections and tuberculosis,Rate,2004,45.97110409837679,49.80330769500989,40.14391231974375
Deaths,Uruguay,Both,All Ages,Respiratory infections and tuberculosis,Rate,2004,44.29055403481162,47.02814053517921,40.07213478829818
Deaths,Marshall Islands,Male,All Ages,Neglected tropical diseases and malaria,Rate,2004,0.3011789165755172,0.4974620491384389,0.14709486976885727
Deaths,Marshall Islands,Female,All Ages,Neglected tropical diseases and malaria,Rate,2004,0.3347693467155505,0.603622490217418,0.1638525276765459
Deaths,Marshall Islands,Both,All Ages,Neglected tropical diseases and malaria,Rate,2004,0.3175460057438983,0.505696705127741,0.18940893172008713
Deaths,Marshall Islands,Male,All Ages,Cardiovascular diseases,Rate,2004,239.17560513553843,277.41823255350573,200.60907657580623
Deaths,Marshall Islands,Female,All Ages,Cardiovascular diseases,Rate,2004,179.1561769254102,220.170643302265,142.02271722244836
Deaths,Marshall Islands,Both,All Ages,Cardiovascular diseases,Rate,2004,209.93086699865765,245.58602342722833,176.59103033347156
Deaths,Singapore,Male,All Ages,Chronic respiratory diseases,Rate,2004,19.847549244082686,21.18104804940614,18.440560110038767
Deaths,Singapore,Female,All Ages,Chronic respiratory diseases,Rate,2004,9.774863135423391,14.197434583126247,8.254832563983701
Deaths,Singapore,Both,All Ages,Chronic respiratory diseases,Rate,2004,14.859923870901506,17.284149935740714,13.488148106406063
Deaths,Georgia,Male,All Ages,Other non-communicable diseases,Rate,2004,5.211333377692113,6.960483633554133,4.372478706644767
Deaths,Georgia,Female,All Ages,Other non-communicable diseases,Rate,2004,3.5701005114663156,4.653031868946421,3.012041185530274
Deaths,Georgia,Both,All Ages,Other non-communicable diseases,Rate,2004,4.3439083548192645,5.6145814334255855,3.7091121855722786
Deaths,Georgia,Male,All Ages,Skin and subcutaneous diseases,Rate,2004,0.12202863733207069,0.23704310339023185,0.05625675133718078
Deaths,Georgia,Female,All Ages,Skin and subcutaneous diseases,Rate,2004,0.1386691809416917,0.18550910361118225,0.06812125030164631
Deaths,Georgia,Both,All Ages,Skin and subcutaneous diseases,Rate,2004,0.13082350381216082,0.19332583453781,0.08153028362735636
Deaths,Georgia,Male,All Ages,HIV/AIDS and sexually transmitted infections,Rate,2004,0.0774155420569237,0.08628534475304923,0.06947856523935515
Deaths,Georgia,Female,All Ages,HIV/AIDS and sexually transmitted infections,Rate,2004,0.13902772686073567,0.15344811713981452,0.12621915149450053
Deaths,Georgia,Both,All Ages,HIV/AIDS and sexually transmitted infections,Rate,2004,0.10997883756025645,0.11836930738141586,0.10221055027434564
Deaths,Georgia,Male,All Ages,Respiratory infections and tuberculosis,Rate,2004,29.427483616607265,31.977313987201818,26.9317288342109
Deaths,Georgia,Female,All Ages,Respiratory infections and tuberculosis,Rate,2004,17.982481904432653,19.756223902601146,16.028761400096492
Deaths,Georgia,Both,All Ages,Respiratory infections and tuberculosis,Rate,2004,23.378566929487377,25.014960340237543,21.694242882542106
Deaths,Georgia,Male,All Ages,Enteric infections,Rate,2004,0.8159467096454603,1.0094603251153653,0.663832241559122
Deaths,Georgia,Female,All Ages,Enteric infections,Rate,2004,0.7601014496287442,0.9418159446602687,0.6085365821750652
Deaths,Georgia,Both,All Ages,Enteric infections,Rate,2004,0.7864313514387135,0.9596345798569628,0.6444728208012522
Deaths,Mauritania,Male,All Ages,Cardiovascular diseases,Rate,2004,92.86066287256892,115.59575319036219,74.95475092726484
Deaths,Mauritania,Female,All Ages,Cardiovascular diseases,Rate,2004,116.32799504151616,135.2299074128597,97.32489169830426
Deaths,Mauritania,Both,All Ages,Cardiovascular diseases,Rate,2004,104.76178919843943,122.42282918640507,89.54369975549254
Deaths,China,Male,All Ages,Substance use disorders,Rate,2004,4.24313884233341,4.786323593446856,3.34850095433981
Deaths,China,Female,All Ages,Substance use disorders,Rate,2004,0.9205823699425212,1.0343760649799623,0.8218418733140554
